funded_amnt,term,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,acc_now_delinq,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,loan_status
18000,36 months,573.83,B,B1,5,MORTGAGE,136000,Source Verified,home_improvement,VA,18.15,0,0,1992,2,16,0,29657,Fully Paid
17925,36 months,576.29,B,B3,2,OWN,39000,Not Verified,credit_card,IL,33.59,0,0,1987,1,7,0,23589,Fully Paid
8000,36 months,258.71,B,B2,2,RENT,45000,Not Verified,debt_consolidation,RI,18.88,0,0,2004,1,14,0,4730,Fully Paid
11050,36 months,397.11,D,D4,9,MORTGAGE,106000,Not Verified,debt_consolidation,NY,10.3,4,0,1989,6,11,1,6021,Fully Paid
10000,60 months,220.08,B,B5,8,MORTGAGE,131000,Source Verified,debt_consolidation,TX,11.56,0,0,2002,1,13,0,14041,Fully Paid
12000,60 months,269.92,B,B5,4,MORTGAGE,73000,Not Verified,credit_card,IN,28.63,0,0,2001,0,11,0,18633,Fully Paid
16000,36 months,582.87,D,D2,3,MORTGAGE,53000,Verified,debt_consolidation,OK,30.91,4,0,2000,2,10,1,15756,Fully Paid
8000,36 months,301.36,E,E5,0,RENT,20000,Source Verified,debt_consolidation,WY,38.3,0,0,2009,0,4,0,4797,Fully Paid
20000,36 months,661.14,B,B4,9,RENT,50000,Source Verified,debt_consolidation,CA,15.63,0,0,1996,0,12,0,12454,Charged Off
35000,60 months,832.47,C,C5,7,MORTGAGE,122400,Source Verified,home_improvement,TX,6.66,0,0,2001,1,16,0,28416,Fully Paid
5400,36 months,198.47,E,E3,4,RENT,18000,Source Verified,debt_consolidation,NY,8.6,0,0,2009,2,4,0,3092,Fully Paid
33000,36 months,1111.75,B,B5,10,MORTGAGE,85000,Verified,debt_consolidation,IL,15.59,1,0,1998,0,17,0,43501,Fully Paid
30000,60 months,723.34,D,D1,10,MORTGAGE,73000,Verified,debt_consolidation,MI,16.35,3,0,2003,2,15,0,5244,Charged Off
5600,36 months,197.69,C,C5,3,RENT,46000,Source Verified,debt_consolidation,NJ,23.41,0,0,2005,2,9,0,18567,Fully Paid
8000,36 months,278.19,C,C3,10,MORTGAGE,73672,Source Verified,home_improvement,MI,17.77,0,0,1998,1,11,0,7236,Charged Off
19000,36 months,594.52,A,A4,10,MORTGAGE,180000,Source Verified,credit_card,CA,6.61,0,0,1996,1,7,0,19311,Fully Paid
21600,60 months,552.03,F,F1,4,RENT,68496,Verified,debt_consolidation,WI,14.42,0,0,2003,2,5,0,9785,Fully Paid
20000,36 months,607.81,A,A1,10,MORTGAGE,130000,Verified,debt_consolidation,MA,14.76,0,0,2000,0,13,0,7574,Fully Paid
8000,36 months,252.14,B,B1,10,OWN,40000,Not Verified,debt_consolidation,MO,29.82,0,0,2005,0,7,0,5039,Fully Paid
15000,36 months,544.17,E,E1,10,RENT,80000,Verified,other,CA,19.13,1,0,1982,0,8,0,12032,Fully Paid
9600,36 months,326.48,C,C1,2,RENT,80000,Not Verified,credit_card,IN,17.19,1,0,2005,1,16,0,5170,Fully Paid
25000,60 months,575.12,C,C2,10,MORTGAGE,63000,Verified,home_improvement,NJ,0.21,1,0,2001,0,10,0,48,Fully Paid
12000,36 months,361.38,A,A1,9,RENT,125000,Source Verified,credit_card,NY,13.2,0,0,1994,0,9,0,9433,Fully Paid
3200,36 months,109.24,C,C4,10,RENT,72000,Not Verified,other,CA,2.2,0,0,1994,3,4,0,2596,Fully Paid
9850,36 months,357.34,D,D3,5,RENT,50000,Source Verified,debt_consolidation,VA,35.38,0,0,2005,1,10,1,4986,Fully Paid
14000,36 months,465.81,B,B3,7,RENT,66000,Source Verified,credit_card,CA,14.47,0,0,1996,0,12,0,28312,Fully Paid
17000,60 months,395.48,C,C4,7,MORTGAGE,79000,Not Verified,debt_consolidation,FL,23.07,0,0,1995,0,14,0,15713,Fully Paid
30000,36 months,1010.68,C,C1,5,RENT,105000,Verified,debt_consolidation,CA,14.59,0,0,1989,0,13,0,31276,Fully Paid
12000,60 months,336.23,E,E5,10,MORTGAGE,60000,Verified,debt_consolidation,UT,9.98,7,0,1998,1,13,0,5856,Fully Paid
21575,60 months,626.95,F,F3,9,MORTGAGE,60000,Source Verified,other,MN,12.74,1,0,2003,1,7,0,4071,Charged Off
5000,36 months,163.77,C,C1,4,RENT,37500,Not Verified,debt_consolidation,CA,5.73,0,0,1999,0,9,0,4760,Fully Paid
12000,36 months,419.58,D,D1,9,RENT,39000,Not Verified,debt_consolidation,CA,11.26,3,0,2006,0,8,0,1193,Fully Paid
26500,60 months,731.76,F,F1,10,MORTGAGE,79000,Not Verified,home_improvement,AR,27.83,0,0,2002,3,11,1,7223,Fully Paid
6800,36 months,227.58,C,C1,3,MORTGAGE,65000,Verified,home_improvement,LA,4.1,0,0,2001,6,17,0,155,Charged Off
4200,36 months,138.56,B,B5,1,RENT,55000,Not Verified,other,FL,13.92,0,0,2005,0,6,0,5945,Fully Paid
9000,36 months,285.78,A,A5,10,RENT,1.00E+05,Source Verified,credit_card,CA,3.7,0,0,2000,0,10,0,7961,Fully Paid
12000,36 months,381.04,A,A5,2,RENT,130000,Verified,credit_card,NY,2.84,0,0,2001,0,15,0,14359,Fully Paid
12800,36 months,402.17,B,B1,10,MORTGAGE,145000,Not Verified,credit_card,IL,30.91,0,0,1998,0,13,0,102272,Fully Paid
35000,60 months,917.97,E,E2,2,MORTGAGE,125000,Source Verified,home_improvement,CA,12.76,0,0,1999,0,15,1,2072,Fully Paid
8400,36 months,264.16,B,B1,10,RENT,68000,Not Verified,debt_consolidation,OR,8.58,0,0,1989,1,10,1,3663,Fully Paid
26400,36 months,813.83,A,A3,0,MORTGAGE,1.00E+05,Not Verified,debt_consolidation,FL,16.2,0,0,1999,1,11,0,6884,Fully Paid
20000,36 months,640.57,B,B2,1,MORTGAGE,90100,Source Verified,debt_consolidation,PA,14.77,0,0,1999,0,9,0,27879,Fully Paid
10000,36 months,344.95,C,C5,1,RENT,50000,Verified,other,IN,21.34,0,0,2003,0,6,0,19452,Fully Paid
25000,36 months,839.16,C,C1,3,RENT,60000,Not Verified,wedding,NY,20.64,0,0,1995,0,12,0,24736,Fully Paid
6500,36 months,204.86,A,A5,10,OWN,80000,Not Verified,other,AL,25.08,0,0,1976,1,18,0,15767,Fully Paid
17625,60 months,464.22,D,D5,5,MORTGAGE,40000,Source Verified,debt_consolidation,NC,24.4,0,0,1992,2,12,0,16059,Fully Paid
10000,36 months,340.13,C,C3,7,MORTGAGE,56000,Source Verified,debt_consolidation,MO,13.97,0,0,2006,1,6,0,3860,Fully Paid
19000,36 months,666.11,C,C3,7,RENT,72000,Not Verified,debt_consolidation,CO,12.55,0,0,1992,1,18,0,18353,Charged Off
31825,36 months,1159.35,D,D4,8,MORTGAGE,78000,Verified,credit_card,IL,15.51,0,0,1991,0,15,0,41408,Fully Paid
6000,36 months,208.91,C,C2,7,MORTGAGE,84000,Not Verified,home_improvement,GA,23.44,3,0,1986,0,14,0,10439,Fully Paid
29000,36 months,1000.34,C,C2,5,MORTGAGE,93200,Source Verified,debt_consolidation,MD,13.72,0,0,1984,0,12,0,23653,Fully Paid
6400,36 months,223.78,C,C3,10,MORTGAGE,40000,Source Verified,credit_card,IL,26.1,0,0,2001,1,8,0,16572,Fully Paid
11400,60 months,301.97,E,E1,10,MORTGAGE,135000,Source Verified,credit_card,GA,28.66,0,0,1999,1,11,0,59068,Fully Paid
7500,36 months,245.51,B,B2,10,RENT,36000,Source Verified,credit_card,FL,5.17,0,0,2008,1,5,0,3194,Fully Paid
12000,36 months,392.81,B,B3,8,MORTGAGE,49000,Not Verified,debt_consolidation,TX,15.11,0,0,2003,0,9,0,8467,Fully Paid
7000,36 months,226.37,B,B2,1,MORTGAGE,27000,Source Verified,debt_consolidation,WA,7.78,0,0,1989,0,7,1,5212,Fully Paid
8400,36 months,287.06,C,C4,9,RENT,68000,Verified,medical,NY,25.54,0,0,1978,1,32,0,19355,Charged Off
7200,36 months,229.53,B,B2,10,MORTGAGE,70000,Verified,debt_consolidation,TX,25.61,1,0,1992,1,15,1,14300,Charged Off
14000,36 months,446.31,B,B1,10,MORTGAGE,62000,Not Verified,debt_consolidation,OR,8.93,0,0,1999,1,29,0,15950,Fully Paid
5000,36 months,164.86,B,B5,0,MORTGAGE,48000,Source Verified,home_improvement,PA,19.48,0,0,2005,2,12,0,11609,Charged Off
12150,36 months,483.02,F,F3,2,RENT,38000,Verified,credit_card,CA,26.97,0,0,2006,2,18,0,14975,Charged Off
15000,60 months,306.89,B,B1,9,MORTGAGE,75000,Not Verified,debt_consolidation,MD,16.7,2,0,1993,0,20,0,22757,Fully Paid
8000,36 months,333.9,F,F1,1,RENT,55000,Source Verified,other,TX,20.47,0,0,2006,3,10,0,7783,Fully Paid
5000,36 months,170.87,C,C3,10,MORTGAGE,64000,Not Verified,debt_consolidation,CA,10.88,0,0,1996,0,10,1,2694,Fully Paid
15000,36 months,462.96,A,A3,3,MORTGAGE,165000,Not Verified,home_improvement,TX,28.16,0,0,1987,0,17,0,47515,Fully Paid
3000,36 months,99.82,B,B3,6,RENT,61000,Verified,debt_consolidation,OH,32.44,0,0,1983,0,10,0,2742,Fully Paid
9000,36 months,299.45,B,B3,10,RENT,57000,Not Verified,credit_card,CA,7.66,0,0,2002,0,9,0,9803,Fully Paid
20000,36 months,619.93,A,A4,0,MORTGAGE,69000,Source Verified,debt_consolidation,OH,31.34,1,0,2001,0,28,0,23507,Fully Paid
2500,36 months,92.88,D,D5,2,OWN,40000,Not Verified,debt_consolidation,NY,20.94,0,0,1985,0,8,0,9895,Fully Paid
11500,60 months,291.15,D,D5,10,MORTGAGE,69000,Verified,debt_consolidation,KY,23.58,0,0,1993,2,15,1,5889,Fully Paid
35000,36 months,1175.76,C,C1,9,MORTGAGE,104000,Verified,debt_consolidation,TX,29.9,0,0,2003,0,10,0,20827,Charged Off
24000,36 months,776.11,B,B2,10,MORTGAGE,140000,Source Verified,debt_consolidation,CA,16.3,1,0,2001,2,14,0,68313,Fully Paid
13000,60 months,296.99,C,C3,6,MORTGAGE,72000,Not Verified,debt_consolidation,PA,23.8,0,0,1996,1,14,0,12882,Fully Paid
7000,36 months,223.16,B,B2,7,OWN,50000,Not Verified,debt_consolidation,AL,21.7,0,0,2000,0,11,1,4293,Charged Off
35000,60 months,921.85,D,D5,10,MORTGAGE,142000,Source Verified,debt_consolidation,GA,16.88,1,0,1989,1,21,0,76241,Fully Paid
3500,36 months,124.77,D,D1,6,MORTGAGE,52000,Source Verified,other,NV,23.59,0,0,2002,2,10,1,9521,Fully Paid
3500,36 months,120.46,C,C4,10,MORTGAGE,48000,Source Verified,home_improvement,TX,15.33,0,0,1993,0,7,0,6024,Fully Paid
8000,36 months,245.63,A,A2,5,RENT,46000,Not Verified,debt_consolidation,WI,19.41,0,0,1999,1,23,0,600,Fully Paid
5600,36 months,186.78,C,C1,0,RENT,62000,Not Verified,debt_consolidation,FL,19.69,0,0,2001,1,5,0,6196,Fully Paid
11975,36 months,416.94,C,C5,2,OWN,106000,Source Verified,debt_consolidation,TN,19.03,3,0,2000,2,17,0,14028,Fully Paid
35000,60 months,888.58,D,D2,4,MORTGAGE,150000,Verified,credit_card,KY,24.44,0,0,2001,1,20,0,161408,Fully Paid
16825,60 months,464.6,F,F1,7,RENT,60000,Source Verified,debt_consolidation,CA,21.98,0,0,2000,0,14,0,16355,Charged Off
35000,60 months,966.47,F,F1,10,MORTGAGE,250000,Verified,debt_consolidation,AZ,11.96,10,0,2002,0,8,0,866,Fully Paid
19600,36 months,733.31,E,E1,5,MORTGAGE,59000,Verified,small_business,NC,30.04,0,0,2001,1,17,0,16175,Charged Off
5500,36 months,183.97,B,B5,6,MORTGAGE,70000,Not Verified,debt_consolidation,NV,23.95,1,0,1996,0,8,0,21287,Fully Paid
8875,36 months,321.97,E,E1,10,MORTGAGE,45000,Verified,debt_consolidation,CA,12.37,2,0,1991,3,16,0,22293,Charged Off
10125,36 months,339.65,C,C2,8,MORTGAGE,80000,Not Verified,debt_consolidation,FL,29.47,0,0,2000,1,12,1,3049,Charged Off
18225,36 months,625.82,C,C1,10,MORTGAGE,40730,Verified,credit_card,CO,19.3,0,0,1987,2,7,0,35239,Fully Paid
10000,36 months,348.18,C,C2,5,RENT,38000,Not Verified,debt_consolidation,CA,26.66,0,0,2002,2,16,0,12155,Fully Paid
12000,60 months,299.14,D,D4,10,RENT,47000,Verified,debt_consolidation,CA,32.48,5,0,1999,1,15,0,6881,Charged Off
13675,36 months,493.43,D,D5,7,RENT,38000,Source Verified,home_improvement,GA,14.37,1,0,2006,1,7,0,4420,Fully Paid
21600,60 months,475.59,B,B3,8,OWN,71000,Verified,debt_consolidation,NC,10.33,1,0,1993,1,8,1,4590,Fully Paid
16000,36 months,531.36,B,B3,3,MORTGAGE,60000,Verified,debt_consolidation,NC,12.16,0,0,2004,1,13,0,15363,Fully Paid
3600,36 months,127.09,D,D1,2,RENT,65000,Source Verified,debt_consolidation,FL,11.67,0,0,2007,0,25,0,4711,Charged Off
23000,36 months,700.02,A,A1,10,MORTGAGE,170000,Source Verified,debt_consolidation,KY,16.45,0,0,1999,0,17,0,19491,Fully Paid
24500,36 months,745.68,A,A1,6,RENT,160000,Source Verified,debt_consolidation,AZ,20.21,0,0,2000,0,16,0,12132,Fully Paid
8500,36 months,290.47,C,C4,10,MORTGAGE,102000,Source Verified,debt_consolidation,TX,18.93,0,0,2001,0,14,0,13976,Fully Paid
15000,36 months,478.19,B,B2,10,RENT,72100,Source Verified,debt_consolidation,MA,13.86,0,0,1996,0,17,0,4904,Charged Off
21000,60 months,483.1,C,C2,2,RENT,143620,Not Verified,debt_consolidation,CA,19.72,0,0,1988,0,8,0,43222,Fully Paid
3700,36 months,122.07,B,B5,0,MORTGAGE,55000,Source Verified,debt_consolidation,CA,27.93,2,0,1993,0,16,0,13858,Fully Paid
26900,60 months,672.45,D,D3,10,MORTGAGE,180000,Verified,debt_consolidation,GA,20.83,0,0,2000,0,14,0,29206,Fully Paid
14500,36 months,464.41,B,B2,10,RENT,103000,Source Verified,credit_card,FL,28.42,1,0,1987,0,9,0,16597,Fully Paid
7200,36 months,239.56,B,B3,6,RENT,37000,Not Verified,home_improvement,IL,32.53,0,0,2003,2,10,0,10776,Fully Paid
9300,36 months,289.81,A,A3,10,MORTGAGE,88000,Not Verified,credit_card,WI,17.3,0,0,2002,0,11,0,8723,Charged Off
7650,36 months,288.18,E,E4,10,RENT,30000,Source Verified,debt_consolidation,CO,30.84,1,0,1993,0,9,1,4457,Charged Off
5275,36 months,193.87,E,E3,8,OWN,25000,Verified,medical,KS,38.45,0,0,2000,0,19,1,269,Charged Off
35000,36 months,1197.75,B,B5,5,MORTGAGE,1.00E+05,Verified,credit_card,PA,21.82,0,0,1999,0,15,0,38542,Fully Paid
15000,36 months,463.98,A,A3,3,MORTGAGE,85000,Not Verified,debt_consolidation,MA,19.29,0,0,1988,0,10,0,46827,Fully Paid
16000,60 months,434.21,E,E2,10,RENT,104000,Source Verified,debt_consolidation,KS,10.8,1,0,2000,0,8,0,10969,Charged Off
6600,36 months,206.52,A,A4,10,MORTGAGE,70500,Source Verified,major_purchase,VA,28.39,0,0,1978,1,19,0,11371,Fully Paid
23750,36 months,861.61,D,D3,4,RENT,54000,Source Verified,debt_consolidation,TN,23.64,0,0,1999,0,5,0,18277,Charged Off
15000,60 months,372.71,D,D3,1,OWN,65000,Source Verified,credit_card,TX,20.46,0,0,2010,0,19,0,8304,Charged Off
2000,36 months,65.94,B,B2,9,RENT,28800,Not Verified,debt_consolidation,MO,14.25,0,0,2001,2,7,0,179,Fully Paid
13000,36 months,396.91,A,A2,10,MORTGAGE,55000,Source Verified,home_improvement,SC,14.27,0,0,1988,0,11,1,7306,Fully Paid
20000,60 months,434.75,B,B4,4,MORTGAGE,99000,Source Verified,credit_card,KS,13.37,0,0,1996,1,9,1,6858,Fully Paid
25000,36 months,843.68,B,B4,5,RENT,105000,Not Verified,credit_card,IL,15.86,0,0,2004,1,21,0,24712,Fully Paid
22000,60 months,556.99,D,D5,10,MORTGAGE,53000,Source Verified,debt_consolidation,NC,15.96,1,0,2002,0,14,0,5249,Fully Paid
10750,60 months,265.9,C,C5,1,MORTGAGE,75000,Verified,debt_consolidation,UT,6.24,0,0,1998,1,14,1,4581,Fully Paid
2800,36 months,94,C,C1,3,RENT,35000,Source Verified,credit_card,TN,25.03,0,0,2010,0,10,0,1548,Fully Paid
24000,36 months,824.12,C,C1,4,RENT,80000,Verified,major_purchase,FL,5,0,0,2001,0,11,0,9376,Fully Paid
9475,36 months,288.38,A,A1,0,MORTGAGE,62000,Verified,debt_consolidation,WI,28.26,0,0,1986,0,7,0,30919,Fully Paid
30000,36 months,1020.24,C,C1,4,MORTGAGE,125000,Source Verified,debt_consolidation,NC,26.66,0,0,1990,0,7,0,45870,Fully Paid
29200,60 months,887.63,G,G1,3,MORTGAGE,206000,Verified,credit_card,LA,18.11,1,0,2003,0,13,0,21846,Fully Paid
6000,36 months,206.5,C,C4,4,MORTGAGE,80000,Not Verified,home_improvement,TX,18.86,2,0,1999,3,16,0,8505,Charged Off
12550,36 months,444.89,D,D1,10,MORTGAGE,30000,Not Verified,debt_consolidation,FL,10.68,0,0,2000,4,8,1,7953,Charged Off
27000,60 months,618.91,C,C3,10,MORTGAGE,620000,Source Verified,debt_consolidation,IL,4.51,0,0,1993,0,22,0,24426,Fully Paid
10000,36 months,322.63,B,B1,3,MORTGAGE,50000,Verified,credit_card,MI,25.44,2,0,2001,1,10,0,13082,Fully Paid
5000,36 months,156.69,A,A3,1,MORTGAGE,79000,Source Verified,house,CA,0.5,0,0,1988,2,6,0,33,Fully Paid
20950,36 months,692.55,B,B4,8,OWN,50000,Source Verified,debt_consolidation,OK,24.27,0,0,2005,0,12,0,22575,Fully Paid
8000,36 months,268.48,C,C4,3,RENT,58600,Verified,small_business,MI,0.51,0,0,1997,2,14,0,276,Fully Paid
6000,36 months,221.55,D,D5,0,MORTGAGE,50000,Source Verified,other,TN,8.59,0,0,1999,1,9,0,6604,Charged Off
7000,36 months,234.15,B,B5,10,MORTGAGE,55000,Not Verified,debt_consolidation,CA,10.95,3,0,1988,2,14,0,4293,Fully Paid
8050,36 months,277.64,C,C3,6,MORTGAGE,35000,Verified,debt_consolidation,OH,12.72,0,0,1997,2,10,0,6753,Charged Off
8875,36 months,303.29,C,C4,3,MORTGAGE,37000,Source Verified,debt_consolidation,IN,4.54,0,0,1997,0,3,1,5296,Fully Paid
3000,36 months,98.98,B,B5,0,RENT,60000,Verified,credit_card,NY,26.52,0,0,2007,0,15,0,6293,Fully Paid
25000,60 months,678.87,E,E3,7,MORTGAGE,86000,Source Verified,debt_consolidation,PA,18.43,3,0,2004,0,9,0,2106,Charged Off
35000,60 months,778.38,C,C1,5,RENT,92518,Not Verified,debt_consolidation,FL,18.74,0,0,2004,0,9,0,801,Fully Paid
12000,36 months,404.27,C,C1,10,MORTGAGE,90000,Not Verified,debt_consolidation,MS,18.27,0,0,2000,0,8,0,6549,Fully Paid
8000,36 months,255,B,B2,8,RENT,305000,Source Verified,other,MN,11.59,0,0,2001,0,18,0,65995,Fully Paid
20000,60 months,503.21,D,D2,4,RENT,50000,Source Verified,debt_consolidation,CO,34.35,0,0,1995,0,8,0,20775,Charged Off
17500,60 months,430.14,D,D3,10,MORTGAGE,31200,Source Verified,home_improvement,MA,1.54,1,0,2005,1,5,0,488,Fully Paid
16000,36 months,517.48,B,B1,8,RENT,50000,Source Verified,debt_consolidation,CA,18.53,0,0,2001,0,4,0,15123,Fully Paid
9200,36 months,295.44,B,B1,0,RENT,115000,Source Verified,credit_card,CA,12.64,0,0,1995,2,12,0,29548,Charged Off
12000,36 months,400.24,C,C1,10,MORTGAGE,1.00E+05,Source Verified,debt_consolidation,UT,18.72,0,0,1993,1,16,0,5947,Fully Paid
30000,36 months,963.38,B,B1,1,RENT,105000,Verified,credit_card,NY,7.11,0,0,1990,0,11,0,20152,Fully Paid
28500,60 months,668.04,C,C1,8,MORTGAGE,110000,Verified,debt_consolidation,CA,18.32,0,0,1996,1,13,0,30976,Fully Paid
12000,36 months,371.19,A,A3,1,MORTGAGE,65000,Verified,debt_consolidation,NC,1.11,0,0,1998,0,3,0,2061,Charged Off
11000,36 months,355.72,B,B2,5,MORTGAGE,64800,Not Verified,debt_consolidation,FL,13.09,0,0,2008,0,5,0,6153,Fully Paid
12725,36 months,408.64,B,B1,10,RENT,76000,Source Verified,credit_card,CA,17.94,1,0,1995,1,11,0,32913,Fully Paid
23875,60 months,600.7,D,D4,9,RENT,97000,Source Verified,credit_card,WV,20.93,0,0,2009,1,28,1,19954,Charged Off
12000,36 months,384.34,B,B2,2,RENT,45000,Verified,credit_card,CA,16.99,0,0,2007,0,20,0,10863,Fully Paid
12000,36 months,392.81,B,B4,0,MORTGAGE,32000,Verified,credit_card,FL,22.13,0,0,1997,1,20,0,12751,Fully Paid
24000,36 months,750.97,A,A4,9,MORTGAGE,98000,Verified,credit_card,CA,13.18,0,0,1995,0,11,0,37497,Fully Paid
5500,36 months,182.66,B,B3,10,RENT,30000,Not Verified,credit_card,WA,29.8,1,0,1986,1,13,1,4104,Fully Paid
5000,36 months,155.56,A,A3,7,MORTGAGE,52000,Not Verified,debt_consolidation,CO,9.53,0,0,1999,1,5,0,1825,Fully Paid
12000,60 months,277.11,C,C3,2,MORTGAGE,42000,Not Verified,debt_consolidation,AL,23.52,0,0,2003,0,14,1,24690,Charged Off
20000,60 months,478.12,C,C3,2,MORTGAGE,90000,Verified,debt_consolidation,IL,5.01,0,0,2001,1,12,0,6067,Charged Off
25200,60 months,626.15,D,D3,2,RENT,80000,Source Verified,debt_consolidation,MN,10.32,0,0,1999,2,7,0,13774,Charged Off
4000,36 months,123.07,A,A2,8,MORTGAGE,67000,Verified,home_improvement,CO,12.79,0,0,1998,0,13,0,7648,Fully Paid
23075,36 months,794.16,C,C4,8,RENT,61000,Source Verified,debt_consolidation,TX,32.19,0,0,2006,0,13,0,20099,Fully Paid
