funded_amnt,term,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,acc_now_delinq,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal
25200,36 months,909.28,D,D5,10,OWN,62000,Verified,major_purchase,PA,25.9,0,0,2001,0,12,0,15582
28000,60 months,636.95,B,B4,10,MORTGAGE,133000,Source Verified,debt_consolidation,CA,10.55,0,0,1998,1,7,0,10587
8000,36 months,258.1,B,B3,10,MORTGAGE,110000,Not Verified,debt_consolidation,TN,21.49,1,0,1987,0,9,0,26576
30575,60 months,792.97,E,E3,3,MORTGAGE,110000,Verified,debt_consolidation,CA,9.22,0,0,2002,2,15,1,6916
15000,36 months,500.3,C,C1,4,MORTGAGE,80000,Not Verified,debt_consolidation,MN,18.05,0,0,1982,2,21,0,25241
6000,36 months,206.97,C,C5,6,RENT,86000,Source Verified,debt_consolidation,IN,18.66,0,0,2002,4,12,1,11596
8000,36 months,278.54,C,C5,3,OWN,35000,Source Verified,other,KY,13.55,0,0,1989,4,8,0,27861
12000,36 months,443.04,E,E2,2,RENT,120000,Verified,debt_consolidation,GA,17.45,0,0,2001,2,12,0,23650
8000,36 months,273.35,C,C3,10,MORTGAGE,85000,Not Verified,debt_consolidation,IN,17.61,0,0,1990,1,14,0,22152
28000,60 months,754.35,E,E1,5,MORTGAGE,109000,Source Verified,credit_card,AL,19.07,0,0,2001,2,11,0,14028
13000,36 months,420.39,B,B2,9,RENT,70000,Not Verified,debt_consolidation,FL,15.41,0,0,2000,0,6,0,20324
27050,36 months,1012.18,E,E1,7,RENT,72000,Source Verified,debt_consolidation,NM,16.25,0,0,2000,1,11,0,13538
17000,36 months,572.72,B,B5,0,RENT,50000,Source Verified,debt_consolidation,NY,9.91,1,0,1985,0,10,1,13260
6000,36 months,218.58,D,D2,8,RENT,45000,Source Verified,credit_card,SC,9.47,0,0,2005,1,6,0,10881
5000,36 months,160.78,B,B1,10,MORTGAGE,55000,Not Verified,credit_card,NC,28.28,0,0,1982,0,15,0,38092
21000,36 months,677.52,B,B3,10,MORTGAGE,80000,Source Verified,debt_consolidation,FL,18.39,1,0,2003,0,14,0,27089
8325,36 months,277.91,B,B4,10,RENT,24000,Not Verified,debt_consolidation,AZ,23.5,0,0,1997,0,12,0,10388
35000,60 months,921.85,D,D5,0,OWN,185000,Verified,debt_consolidation,CT,17.3,0,0,1997,1,20,0,67544
5000,36 months,158.77,A,A5,5,MORTGAGE,45000,Source Verified,debt_consolidation,TX,34.45,0,0,1993,1,9,0,14640
30000,36 months,1095.9,D,D3,10,MORTGAGE,88000,Verified,debt_consolidation,TX,28,0,0,1989,1,16,0,24524
12000,36 months,423.08,C,C4,2,RENT,34560,Not Verified,debt_consolidation,CO,20.1,1,0,1999,1,5,0,4205
18000,60 months,474.09,D,D5,4,RENT,80000,Source Verified,debt_consolidation,MO,17.87,0,0,2004,3,9,0,16795
35000,36 months,1139.9,B,B2,8,RENT,165000,Verified,debt_consolidation,NY,23.78,0,0,1983,0,18,0,65036
18400,36 months,674.38,D,D3,6,RENT,40000,Source Verified,debt_consolidation,CA,14.55,0,0,1997,2,21,1,19440
2200,36 months,78.74,D,D3,10,OWN,30000,Verified,vacation,MO,31,0,0,2006,2,8,0,9373
18200,60 months,474.33,D,D5,1,RENT,41000,Source Verified,debt_consolidation,CA,10.81,0,0,2005,1,10,0,12267
10000,36 months,336.9,C,C2,6,MORTGAGE,39000,Source Verified,debt_consolidation,PA,24.98,1,0,2002,1,7,1,2586
10000,36 months,311.62,A,A3,10,MORTGAGE,76000,Not Verified,debt_consolidation,TX,2.97,0,0,1976,2,12,0,3059
35000,36 months,1257.8,D,D2,10,MORTGAGE,120000,Verified,debt_consolidation,TX,16.35,0,0,1985,0,18,0,57223
21000,36 months,666.82,A,A5,0,RENT,48000,Verified,debt_consolidation,NY,23.54,0,0,2001,0,13,0,21116
4000,36 months,121.75,A,A1,10,MORTGAGE,115000,Not Verified,car,TX,2.71,1,0,1989,0,9,0,4796
14000,36 months,431.58,A,A3,0,MORTGAGE,55000,Not Verified,debt_consolidation,MS,23.35,0,0,2001,0,7,0,14205
20000,60 months,518.71,E,E1,10,OWN,82000,Not Verified,debt_consolidation,FL,22.35,0,0,2002,1,15,1,21947
20000,36 months,673.79,B,B4,2,RENT,68000,Source Verified,debt_consolidation,NY,20.61,1,0,1998,0,13,0,20807
10000,36 months,321.13,B,B1,9,RENT,31000,Verified,debt_consolidation,NC,30.55,0,0,1991,0,10,0,10738
11000,36 months,370.59,C,C1,8,MORTGAGE,52000,Source Verified,debt_consolidation,MO,20.47,1,0,2001,1,14,0,7730
12000,36 months,385.35,B,B1,10,MORTGAGE,47000,Not Verified,debt_consolidation,IN,16.14,0,0,1997,0,14,0,9704
2225,36 months,69.38,A,A5,0,RENT,52500,Source Verified,debt_consolidation,OR,8.14,0,0,2005,0,3,0,2623
7500,36 months,259.41,D,D1,5,RENT,30000,Not Verified,debt_consolidation,GA,13.48,0,0,2004,0,8,0,5942
2650,36 months,92.91,C,C3,9,MORTGAGE,68400,Not Verified,credit_card,UT,23.67,2,0,1998,1,6,0,1581
8800,36 months,295.88,B,B4,5,RENT,40000,Not Verified,debt_consolidation,FL,10.56,0,0,2001,1,10,0,7558
35000,60 months,936.86,E,E1,10,MORTGAGE,230000,Verified,debt_consolidation,AZ,8.35,0,0,1998,2,12,0,27570
15000,36 months,540.49,D,D1,5,RENT,68000,Source Verified,debt_consolidation,CA,32.41,2,0,2000,3,12,0,13913
16000,36 months,564.1,C,C4,4,RENT,60000,Source Verified,debt_consolidation,MA,14.56,1,0,2006,0,9,0,12576
20000,60 months,482.23,C,C5,10,MORTGAGE,125000,Source Verified,debt_consolidation,MA,6.69,0,0,1997,0,9,2,2962
7200,36 months,259.44,D,D1,5,MORTGAGE,32300,Verified,debt_consolidation,KY,23.04,1,0,2003,0,15,0,14138
15000,60 months,361.67,D,D1,7,OWN,93000,Verified,credit_card,FL,19.31,0,0,2004,4,18,0,15213
32000,60 months,692.26,B,B4,10,RENT,115000,Verified,debt_consolidation,CA,21.25,0,0,1995,0,19,0,14507
15000,60 months,338.93,C,C2,9,RENT,58300,Not Verified,debt_consolidation,NY,13.18,0,0,2001,0,5,0,5051
7200,36 months,262.29,E,E2,8,RENT,69000,Source Verified,credit_card,CA,14.54,0,0,2005,1,16,0,7071
20000,60 months,475.7,C,C4,8,MORTGAGE,49780,Verified,debt_consolidation,NV,11.07,0,0,1999,0,10,1,44555
8000,36 months,274.71,C,C1,10,RENT,42000,Not Verified,debt_consolidation,CA,27.03,0,0,1979,0,13,0,11568
7000,36 months,230.94,B,B5,10,MORTGAGE,65000,Not Verified,debt_consolidation,HI,33.07,0,0,2003,1,17,0,14102
15000,60 months,397.33,D,D4,10,RENT,65000,Source Verified,credit_card,NY,29.17,0,0,1999,3,15,0,12579
8000,36 months,275.96,C,C5,5,MORTGAGE,76000,Source Verified,other,CA,24.06,0,0,1996,0,11,0,21754
24500,36 months,813.64,C,C1,10,MORTGAGE,101000,Not Verified,credit_card,HI,6.43,0,0,2000,1,17,0,15740
5000,36 months,161.69,B,B2,5,RENT,50000,Not Verified,debt_consolidation,CA,25.42,0,0,2008,1,10,0,6479
27000,60 months,670.88,D,D3,10,RENT,105000,Verified,debt_consolidation,AZ,9.02,0,0,1999,0,10,3,10979
28575,36 months,903.37,A,A4,0,MORTGAGE,137000,Verified,credit_card,TX,14.82,0,0,1984,1,11,0,26823
35000,36 months,1145.69,B,B2,1,MORTGAGE,85000,Verified,major_purchase,NC,0.56,0,0,1998,0,7,0,652
8000,36 months,254.03,A,A5,2,RENT,69000,Not Verified,credit_card,NY,20.22,0,0,1989,0,24,0,7105
15000,36 months,500.3,C,C1,7,OWN,50000,Source Verified,debt_consolidation,MO,16.03,0,0,2009,1,8,0,3763
35000,36 months,1154.66,B,B5,10,MORTGAGE,164500,Verified,credit_card,CA,10.32,0,0,1999,0,15,0,47916
12000,60 months,267.24,C,C1,2,OWN,32000,Source Verified,other,OH,2.78,1,0,2002,0,7,0,1225
6000,36 months,183.87,A,A2,1,MORTGAGE,85000,Verified,home_improvement,NC,1.99,0,0,1999,0,7,0,2021
15000,36 months,459.67,A,A2,2,MORTGAGE,171000,Source Verified,debt_consolidation,WA,22.39,0,0,1979,0,18,0,54753
16000,60 months,361.44,C,C1,2,MORTGAGE,210000,Source Verified,home_improvement,CT,0.73,0,0,1996,0,8,0,3
9800,36 months,295.13,A,A1,7,MORTGAGE,50000,Source Verified,moving,CO,12.87,0,0,2000,0,12,0,5070
32350,36 months,1008.07,A,A3,2,RENT,65000,Verified,other,NV,6.48,0,0,1998,0,11,0,91
4000,36 months,126.07,A,A5,10,RENT,65000,Not Verified,debt_consolidation,NY,29.75,0,0,1994,1,12,0,1261
12000,60 months,242.69,A,A5,10,MORTGAGE,1.00E+05,Not Verified,credit_card,TX,10.72,0,0,2002,1,8,0,572
15000,36 months,469.36,A,A4,5,MORTGAGE,108000,Verified,debt_consolidation,LA,27.35,2,0,2001,0,23,0,15585
35000,36 months,1190.45,C,C3,2,OWN,84012,Verified,debt_consolidation,CA,25.34,0,0,1995,0,17,0,30411
5000,36 months,168.45,C,C2,10,MORTGAGE,40000,Not Verified,debt_consolidation,FL,34.74,6,0,1998,0,12,0,8577
24500,36 months,766.62,A,A4,10,MORTGAGE,135000,Not Verified,debt_consolidation,MO,24.23,0,0,1991,1,13,0,52584
11200,60 months,245.98,B,B4,10,MORTGAGE,95000,Verified,home_improvement,CA,10.6,0,0,2004,1,10,0,2530
17000,36 months,554.55,B,B4,10,MORTGAGE,85000,Source Verified,other,CA,18.31,1,0,2001,0,10,0,7499
10000,36 months,347.74,C,C3,1,MORTGAGE,36000,Source Verified,debt_consolidation,FL,23.17,0,0,2007,0,8,1,6702
25000,36 months,826.43,B,B4,10,MORTGAGE,78500,Source Verified,debt_consolidation,OR,10.95,0,0,2001,0,8,0,6462
15000,36 months,469.29,A,A5,5,MORTGAGE,68000,Not Verified,debt_consolidation,OH,21.01,0,0,2003,2,10,0,7072
15600,60 months,389.97,D,D2,10,OWN,52000,Not Verified,major_purchase,NY,25.53,0,0,1975,1,32,0,23986
6000,36 months,200.8,C,C1,2,MORTGAGE,41000,Not Verified,credit_card,FL,11.24,1,0,2004,0,7,0,9469
22000,36 months,688.39,A,A4,8,MORTGAGE,140000,Verified,credit_card,NH,14.68,0,0,1998,0,8,0,72823
9600,36 months,332.75,C,C5,10,MORTGAGE,80000,Not Verified,debt_consolidation,FL,11.51,0,0,1981,0,11,1,10253
1500,36 months,47.62,B,B1,2,RENT,14088,Source Verified,other,TX,19.76,0,0,2005,0,7,0,99
5000,36 months,159.4,B,B2,1,RENT,40000,Not Verified,credit_card,TX,6.15,0,0,1999,1,9,0,5264
3900,36 months,131.62,B,B4,10,RENT,41500,Not Verified,debt_consolidation,FL,15.18,0,0,1984,2,12,0,29320
15000,36 months,465.84,A,A4,10,MORTGAGE,82000,Not Verified,credit_card,AZ,12.81,0,0,2004,1,15,0,19288
35000,36 months,1145.69,B,B3,10,MORTGAGE,117000,Verified,debt_consolidation,UT,22.73,0,0,1991,0,10,0,11489
9000,36 months,323.44,D,D2,4,RENT,78800,Verified,debt_consolidation,TX,14.09,0,0,2000,0,9,0,10776
9300,60 months,237.43,D,D3,10,MORTGAGE,55296,Verified,other,NV,8.64,0,0,1991,0,6,0,6212
13000,36 months,419.42,B,B3,2,MORTGAGE,125000,Source Verified,credit_card,TX,10.96,0,0,2009,0,9,0,23295
6000,36 months,187.17,A,A4,2,RENT,30000,Not Verified,debt_consolidation,VA,4.56,0,0,2003,0,15,0,3146
7000,36 months,247.11,C,C4,10,MORTGAGE,64000,Not Verified,debt_consolidation,NC,26.06,0,0,2002,3,6,1,4811
8000,36 months,275.22,C,C4,2,OWN,45000,Source Verified,home_improvement,FL,19.66,1,0,2007,1,11,0,10808
9900,36 months,306.23,A,A3,5,MORTGAGE,79832,Not Verified,other,TN,29.75,0,0,2005,0,12,0,5062
35000,36 months,1300.55,D,D4,10,MORTGAGE,98000,Verified,debt_consolidation,CA,30.03,0,0,2002,1,13,0,18118
24000,60 months,523.5,B,B2,6,MORTGAGE,119000,Verified,debt_consolidation,MN,11.93,0,0,1996,4,21,0,39679
9600,36 months,307.48,B,B2,2,RENT,52000,Source Verified,debt_consolidation,NY,10.48,0,0,2001,0,17,1,6816
11700,36 months,375.94,B,B1,6,OWN,45000,Not Verified,home_improvement,FL,9.23,0,0,1995,0,11,1,6505
12000,36 months,366.37,A,A2,10,RENT,88000,Not Verified,debt_consolidation,MN,7.19,0,0,2005,1,17,1,8924
5600,36 months,175.23,A,A4,1,RENT,25000,Not Verified,credit_card,NY,10.9,0,0,2001,0,8,0,6242
25000,36 months,844.26,C,C3,5,MORTGAGE,125000,Verified,credit_card,WA,8.24,0,0,1994,1,13,0,14323
4000,36 months,137.36,C,C1,0,RENT,45000,Source Verified,debt_consolidation,NY,21.41,0,0,2001,1,6,0,3738
35000,60 months,814.21,C,C4,4,RENT,170000,Not Verified,credit_card,NY,17.12,0,0,1977,1,12,1,30827
19225,60 months,483.71,D,D4,10,OWN,47000,Not Verified,debt_consolidation,CA,22.73,0,0,2005,1,14,0,19954
32100,60 months,932.8,F,F3,0,MORTGAGE,110000,Verified,debt_consolidation,OH,33.22,2,0,1995,1,16,0,29629
5000,36 months,164.56,B,B5,9,RENT,47233,Verified,debt_consolidation,DC,10.47,0,0,2000,0,6,0,12241
20000,36 months,683.46,C,C4,2,MORTGAGE,61500,Verified,debt_consolidation,TX,26.83,0,0,2003,0,14,0,5868
18000,60 months,466.84,E,E3,4,RENT,110000,Source Verified,debt_consolidation,NY,11.49,2,1,2007,2,17,0,7436
20000,36 months,619.93,A,A4,10,MORTGAGE,67800,Source Verified,debt_consolidation,TN,19.6,0,0,1994,0,17,0,77068
19200,36 months,612.08,B,B1,9,OWN,51000,Not Verified,debt_consolidation,CA,16.66,0,0,2004,0,14,0,19842
5600,36 months,190.12,B,B5,10,RENT,76000,Source Verified,debt_consolidation,IL,15.13,0,0,1995,1,5,0,3518
12000,60 months,272.98,B,B4,9,MORTGAGE,35000,Verified,credit_card,OK,20.37,0,0,1993,1,15,0,17929
7500,36 months,232.48,A,A4,10,MORTGAGE,58000,Source Verified,home_improvement,MI,10.51,0,0,1997,1,8,0,4826
7800,36 months,234.9,A,A1,0,MORTGAGE,50000,Not Verified,credit_card,OH,9.86,0,0,2006,1,20,0,7848
12000,36 months,392.81,B,B4,6,MORTGAGE,63000,Not Verified,debt_consolidation,IN,20.88,0,0,2002,0,24,0,21648
8000,36 months,256.23,B,B2,10,MORTGAGE,103560,Not Verified,major_purchase,CA,19.24,0,0,1982,1,23,0,9034
8225,36 months,287.59,D,D1,3,RENT,45000,Source Verified,debt_consolidation,RI,34.43,0,0,1999,0,15,0,5110
13700,60 months,352.01,E,E2,0,MORTGAGE,40000,Source Verified,debt_consolidation,TN,39.75,0,0,1993,0,14,1,10798
31575,36 months,1161.25,E,E2,0,MORTGAGE,76000,Verified,debt_consolidation,VA,9.88,2,0,1996,0,5,0,13638
5600,36 months,185.98,B,B3,5,MORTGAGE,40000,Not Verified,major_purchase,TN,24.23,0,0,2008,1,13,0,3208
16000,36 months,508.06,A,A5,10,MORTGAGE,58000,Source Verified,debt_consolidation,MN,26.4,0,0,1996,0,15,0,17498
15775,36 months,562.35,D,D1,6,MORTGAGE,45000,Source Verified,debt_consolidation,WA,11.97,1,0,2004,1,12,0,6476
9000,36 months,311.95,C,C5,4,RENT,70000,Verified,debt_consolidation,CA,6.91,0,0,1995,1,8,1,11502
9000,36 months,307.52,C,C3,10,MORTGAGE,70000,Not Verified,debt_consolidation,MA,14.11,0,0,2000,0,9,0,10908
12000,60 months,263.86,B,B5,2,RENT,85000,Source Verified,credit_card,NJ,7.69,1,0,2005,0,9,0,10351
13000,60 months,336.66,D,D4,10,MORTGAGE,96000,Source Verified,debt_consolidation,CO,11.84,2,0,1998,2,8,0,29671
8000,36 months,269.52,C,C2,3,RENT,30000,Verified,debt_consolidation,NJ,22,0,0,2005,1,15,0,9828
5000,36 months,153.52,A,A2,10,MORTGAGE,65000,Not Verified,major_purchase,OH,14.92,0,0,1988,1,11,1,851
11975,60 months,293.06,D,D2,3,RENT,33500,Verified,debt_consolidation,NC,9.82,0,0,2011,0,5,0,4210
7000,36 months,214.93,A,A2,2,RENT,70000,Not Verified,major_purchase,NC,2.81,0,0,1998,0,8,0,388
8000,36 months,269.52,B,B4,2,RENT,30000,Verified,debt_consolidation,CA,7.68,0,0,2008,0,4,0,3547
35000,60 months,886.11,D,D5,10,MORTGAGE,99346,Source Verified,debt_consolidation,CA,7.46,1,0,2000,0,8,0,19457
8000,36 months,274.05,C,C2,7,MORTGAGE,39000,Not Verified,credit_card,PA,17.17,0,0,2000,1,8,0,14676
3500,36 months,118.52,C,C2,9,MORTGAGE,88000,Not Verified,home_improvement,TN,14.01,0,0,2000,0,13,0,21650
35000,36 months,1198.94,C,C2,10,MORTGAGE,151000,Source Verified,debt_consolidation,PA,21.26,0,0,1985,0,23,0,29483
13525,36 months,460.03,C,C3,10,MORTGAGE,82000,Source Verified,credit_card,FL,39.83,2,0,2001,0,15,0,26730
10000,36 months,332.1,B,B3,10,MORTGAGE,70000,Verified,credit_card,NY,34.78,5,0,1987,1,8,0,15586
1500,36 months,51.03,C,C4,9,MORTGAGE,26000,Verified,debt_consolidation,MT,26.13,0,0,1990,0,9,0,8318
11425,36 months,354.14,A,A4,5,RENT,77000,Not Verified,credit_card,WA,14.46,0,0,2003,1,18,0,18922
8000,36 months,264.46,B,B4,7,RENT,41600,Source Verified,debt_consolidation,CT,32.26,2,0,2005,1,9,0,9021
11875,36 months,388.72,B,B3,10,RENT,65000,Source Verified,debt_consolidation,CA,17.37,0,0,1989,0,7,0,13876
13000,36 months,441.1,C,C2,10,MORTGAGE,87000,Source Verified,credit_card,MD,22.31,0,0,1998,0,17,0,52117
14000,36 months,458.28,B,B2,4,MORTGAGE,85000,Not Verified,debt_consolidation,IN,11.11,0,0,2005,3,5,0,15379
9600,36 months,319.41,B,B3,10,MORTGAGE,80000,Verified,credit_card,AZ,22.14,0,0,1987,0,12,1,7598
